"id","fname","ename","company","bussiness_group","board","name_type","symbol_status","code"
"508","فپارسح","ALPX1","ح . آلومینیم پارس","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1ALPS0101"
"509","فپنتا","SPTA1","سپنتا","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1SPTA0001"
"510","فپنتاح","SPTX1","ح . سپنتا","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1SPTA0101"
"511","فجام","JAMD1","جام‌دارو","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRO1JAMD0001"
"512","فجامح","JAMX1","ح . جام‌دارو","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRR1JAMD0101"
"513","فجر","FAJR1","فولاد امیرکبیرکاشان","فلزات اساسی","فهرست اولیه","عام2","فعال","IRO1FAJR0001"
"514","فجرح","FAJX1","ح . فولاد امیر کبیر کاشان","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1FAJR0101"
"515","فجوش","JSHO1","جوش و اکسیژن ایران","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRO1JSHO0001"
"516","فجوشح","JSHX1","ح . جوش و اکسیژن ایران","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRR1JSHO0101"
"517","فخاس","FKAS1","فولاد خراسان","فلزات اساسی","تابلو فرعی","خاص","فعال","IRO1FKAS0001"
"518","فخاسح","FKAX1","ح . فولاد خراسان","فلزات اساسی","تابلو فرعی","خاص","فعال","IRR1FKAS0101"
"519","فخوز","FKHZ1","فولاد خوزستان","فلزات اساسی","تابلو اصلی","خاص","فعال","IRO1FKHZ0001"
"520","فخوزح","FKHX1","ح . فولاد خوزستان","فلزات اساسی","تابلو اصلی","خاص","فعال","IRR1FKHZ0101"
"521","فرآور","FRVR1","فرآوری مواد معدنی ایران","فلزات اساسی","تابلو فرعی","خاص","فعال","IRO1FRVR0001"
"522","فرآورح","FRVX1","ح . فرآوری مواد معدنی ایران","فلزات اساسی","تابلو فرعی","خاص","فعال","IRR1FRVR0101"
"523","فروس","FRIS1","فروسیلیس ایران","فلزات اساسی","تابلو فرعی","خاص","فعال","IRO1FRIS0001"
"524","فروسح","FRIX1","ح . فروسیلیس ایران","فلزات اساسی","تابلو فرعی","خاص","فعال","IRR1FRIS0101"
"525","فروم","TFKR1","تولید فرومولیبدن کرمان","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1TFKR0001"
"526","فرومح","TFKX1","ح . تولید فرومولیبدن کرمان","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1TFKR0101"
"527","فساز","LSAH1","لوله‌سازی اهواز","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1LSAH0001"
"528","فسازان","FSAZ1","غلتک سازان سپاهان","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1FSAZ0001"
"529","فسپا","SEPA1","گروه‌صنعتی‌سپاهان","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1SEPA0001"
"530","فسپاح","SEPX1","ح . گروه صنعتی سپاهان","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1SEPA0101"
"531","فسدید","LSDD1","لوله و تجهیزات سدید","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1LSDD0001"
"532","فسدیدح","LSDX1","ح . لوله و تجهیزات سدید","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1LSDD0101"
"533","فسرب","SORB1","ملی سرب و روی ایران","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1SORB0001"
"534","فسربح","SORX1","ح . ملی سرب و روی ایران","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1SORB0101"
